,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2024-01-12 00:00:00+00:00,-1.57251e-05,0.751298,0.000364032,-8.54159e-05,-9.83673e-05,0.0471821,1.50983e-05,1.36986e-05,4.93879e-07,6.08764e-08,1.3505e-05,4.64583,0.0315391
2024-01-13 00:00:00+00:00,-9.33332e-06,0.751291,0.000334834,-6.45989e-05,-7.72984e-05,0.0427176,1.36696e-05,1.25107e-05,4.75294e-07,-8.61232e-09,1.73312e-05,4.14583,0.0312542
2024-01-14 00:00:00+00:00,6.62287e-06,0.751296,0.000151115,-4.00804e-05,-4.40216e-05,0.0222171,7.10948e-06,7.01427e-06,1.85216e-07,2.17737e-08,2.09101e-05,2.59375,0.0311345
2024-01-15 00:00:00+00:00,-7.60353e-06,0.75129,0.000226432,-5.67485e-05,-6.32385e-05,0.0321577,1.02905e-05,7.73596e-06,2.19134e-07,4.04661e-08,1.06016e-05,2.97917,0.0308761
2024-01-16 00:00:00+00:00,8.36423e-06,0.751296,0.000148898,-6.37352e-05,-7.95753e-05,0.0208539,6.67324e-06,5.15091e-06,1.32268e-07,1.86635e-08,2.0302e-05,1.95833,0.0318018
2024-01-17 00:00:00+00:00,-2.46324e-05,0.751278,0.000304404,-9.4545e-05,-0.000107688,0.0412297,1.31935e-05,7.18034e-06,2.46791e-07,4.66218e-09,-4.01658e-06,3.61458,0.0322021
2024-01-18 00:00:00+00:00,1.61405e-05,0.75129,0.000217198,-4.99625e-05,-4.74537e-05,0.0327633,1.04843e-05,6.96558e-06,1.95139e-07,-1.04795e-07,3.38903e-05,3.07292,0.0333633
2024-01-19 00:00:00+00:00,-8.87795e-06,0.751283,0.000225341,-6.89969e-05,-7.21795e-05,0.0297625,9.52399e-06,7.19579e-06,1.73908e-07,3.00184e-08,7.98577e-06,2.71875,0.0345742
2024-01-20 00:00:00+00:00,-3.14264e-05,0.75126,0.000268028,-0.000131501,-0.000111635,0.0345631,1.10602e-05,6.83736e-06,2.52195e-07,5.83382e-08,-1.33351e-05,2.54167,0.0344377
2024-01-21 00:00:00+00:00,7.36514e-06,0.751265,0.00023716,-8.39716e-05,-7.05003e-05,0.0359526,1.15049e-05,6.22698e-06,2.4906e-07,4.43152e-08,2.53018e-05,2.47917,0.0355815
2024-01-22 00:00:00+00:00,-3.15046e-05,0.751241,0.000239686,-5.72006e-05,-6.80389e-05,0.0327865,1.04917e-05,7.80927e-06,2.0701e-07,2.93033e-08,-1.30263e-05,2.5,0.0371706
2024-01-23 00:00:00+00:00,-1.71325e-05,0.751229,0.000531964,-6.40762e-06,-6.99676e-05,0.0779619,2.49478e-05,1.39609e-05,6.98196e-07,-2.54901e-07,2.27295e-05,4.75,0.0383473
2024-01-24 00:00:00+00:00,-3.37928e-05,0.751203,0.000711395,8.77714e-06,-9.20882e-05,0.099738,3.19162e-05,1.60461e-05,1.05115e-06,3.4569e-07,1.48747e-05,5.41667,0.0378312
2024-01-25 00:00:00+00:00,-1.24334e-05,0.751194,0.000492028,-4.09696e-05,-7.42565e-05,0.0743103,2.37793e-05,1.34162e-05,7.55706e-07,1.22656e-07,2.53953e-05,4.55208,0.0380213
2024-01-26 00:00:00+00:00,-4.62605e-05,0.751159,0.000660824,-5.79741e-05,-0.000125262,0.0848216,2.71429e-05,9.40684e-06,8.04527e-07,1.00075e-08,-8.91688e-06,5.97917,0.0379339
2024-01-27 00:00:00+00:00,2.87603e-05,0.751181,0.000688255,-6.68674e-05,-8.08153e-05,0.0992849,3.17712e-05,7.05317e-06,9.62276e-07,-3.60272e-08,6.85829e-05,6.70833,0.0388242
2024-01-28 00:00:00+00:00,-3.37199e-05,0.751155,0.000952396,-4.936e-05,-7.03505e-05,0.128695,4.11824e-05,6.81414e-06,1.30107e-06,4.05037e-08,1.5537e-05,7.60417,0.0402093
2024-01-29 00:00:00+00:00,-1.21315e-05,0.751146,0.000907925,-0.000166107,-0.000172452,0.115572,3.69832e-05,7.95119e-06,9.66332e-07,3.16222e-08,3.37379e-05,7.03125,0.0407013
2024-01-30 00:00:00+00:00,-1.21184e-05,0.751137,0.000965743,-0.000185964,-0.000198335,0.112979,3.61533e-05,1.06541e-05,9.06796e-07,9.28928e-08,3.55036e-05,6.82292,0.0403209
2024-01-31 00:00:00+00:00,2.37933e-06,0.751139,0.00100975,-2.6902e-05,-6.13229e-05,0.144595,4.62704e-05,1.29372e-05,1.19385e-06,1.60121e-07,6.2621e-05,7.73958,0.039871
2024-02-01 00:00:00+00:00,-5.26722e-05,0.751099,0.000869793,-7.80568e-05,-8.09908e-05,0.109964,3.51885e-05,1.21784e-05,9.20018e-07,6.54745e-08,-4.45174e-06,6.5,0.0398915
2024-02-02 00:00:00+00:00,-1.86988e-05,0.751085,0.000671117,-0.000120512,-0.000109737,0.087276,2.79284e-05,9.50125e-06,7.16569e-07,4.7086e-08,1.94007e-05,5.5625,0.0396012
2024-02-03 00:00:00+00:00,-3.93184e-05,0.751056,0.000652163,-0.000121087,-9.67429e-05,0.0816148,2.61167e-05,7.82292e-06,5.83029e-07,1.75672e-07,-4.97199e-06,5.5625,0.039128
2024-02-04 00:00:00+00:00,-3.50264e-05,0.751029,0.000439575,-8.26463e-05,-0.000111261,0.0537612,1.72036e-05,5.74468e-06,3.35456e-07,7.10613e-08,-1.18141e-05,3.8125,0.038757
2024-02-05 00:00:00+00:00,-1.93117e-05,0.751015,0.000468661,-6.87659e-05,-0.000114028,0.0683489,2.18717e-05,7.80911e-06,4.60214e-07,2.66838e-09,1.08267e-05,4.54167,0.0395866
2024-02-06 00:00:00+00:00,-2.04063e-05,0.751,0.000459242,-0.000104053,-0.000120116,0.0673868,2.15638e-05,8.66442e-06,5.55472e-07,5.09807e-08,1.03265e-05,4.53125,0.0398564
2024-02-07 00:00:00+00:00,-1.59851e-05,0.750988,0.000493027,-8.74408e-05,-0.000109394,0.066689,2.13405e-05,8.45309e-06,4.69065e-07,-3.46489e-07,1.46241e-05,4.6875,0.0404007
2024-02-08 00:00:00+00:00,-2.46049e-05,0.750969,0.000743437,-9.01479e-05,-0.000126739,0.0973447,3.11503e-05,6.77969e-06,6.4853e-07,5.10494e-08,1.39225e-05,6.15625,0.0414729
2024-02-09 00:00:00+00:00,-3.35167e-05,0.750944,0.000958498,-7.15168e-05,-0.000137777,0.122053,3.90571e-05,7.96224e-06,8.3052e-07,4.33595e-07,1.38993e-05,7.02083,0.0426249
2024-02-10 00:00:00+00:00,-3.33364e-05,0.750919,0.000831449,-0.000131331,-0.000150183,0.103625,3.31602e-05,7.51838e-06,7.60807e-07,6.9509e-08,8.03319e-06,6.66667,0.0420655
2024-02-11 00:00:00+00:00,-1.1104e-06,0.750918,0.000844233,-0.000132717,-0.000142067,0.10984,3.51489e-05,9.15132e-06,7.86504e-07,1.2826e-07,4.38482e-05,6.84375,0.0423671
2024-02-12 00:00:00+00:00,-0.000111789,0.750834,0.000887501,-8.0705e-05,-0.0001376,0.10909,3.49087e-05,8.51487e-06,8.61641e-07,7.75802e-07,-6.8284e-05,8.08333,0.0418572
2024-02-13 00:00:00+00:00,-2.7019e-05,0.750814,0.00100944,-2.99316e-05,-0.000114455,0.12187,3.89984e-05,9.31454e-06,1.02583e-06,1.18204e-07,2.22016e-05,9.13542,0.0417875
2024-02-14 00:00:00+00:00,-4.133e-05,0.750783,0.00100133,-7.36265e-05,-0.000109652,0.127885,4.09233e-05,8.99436e-06,1.05752e-06,7.11056e-08,9.57356e-06,9.23958,0.0413177
2024-02-15 00:00:00+00:00,1.43483e-05,0.750794,0.00107773,-2.7844e-05,-7.63104e-05,0.140913,4.50924e-05,8.63433e-06,1.22862e-06,1.47086e-07,6.9157e-05,10.3438,0.0406427
2024-02-16 00:00:00+00:00,-5.68163e-05,0.750751,0.00105795,4.86685e-05,-3.59352e-05,0.134885,4.31633e-05,8.26746e-06,1.14941e-06,-1.05549e-07,-4.13131e-06,10.4688,0.0405231
2024-02-17 00:00:00+00:00,-3.47263e-05,0.750725,0.000969576,6.6126e-05,-5.93956e-05,0.11635,3.7232e-05,6.33391e-06,9.4499e-07,1.95686e-07,9.58875e-06,9.8125,0.0408186
2024-02-18 00:00:00+00:00,-1.98386e-05,0.75071,0.000832421,1.40111e-05,-7.08386e-05,0.0995937,3.187e-05,5.26842e-06,6.98266e-07,4.39453e-08,1.79541e-05,8.61458,0.0399694
2024-02-19 00:00:00+00:00,-3.34577e-05,0.750685,0.000790883,-7.69437e-05,-7.89382e-05,0.100795,3.22544e-05,4.84573e-06,6.74485e-07,2.09369e-07,4.1073e-06,10.0521,0.0399355
2024-02-20 00:00:00+00:00,3.55525e-06,0.750688,0.000825717,-2.61391e-05,-3.46892e-05,0.0986349,3.15632e-05,5.974e-06,7.45916e-07,1.76262e-07,4.16626e-05,11.0417,0.0393575
