per,asset,con,side,ts,why,lastprem_bp,markprem_bp,F_last_vs_mark_bp,P_last_vs_mark_bp,qv,basis_gap_bp
OOS,ETH,ETHUSDT_250328,in,2025-01-01 03:00:00,expiry,310.2687805618465,311.6190992354229,-1.8931872868233057,-0.5837519445506256,30585.31794,-1.3503186735763961
OOS,ETH,ETHUSDT_250926,in,2025-04-04 07:00:00,signal,285.01114104226843,275.4391610252971,6.092360344940317,-3.220037552130739,39693.57916,9.571980016971338
OOS,ETH,ETHUSDT_250926,out,2025-05-13 16:00:00,signal,224.53347497676023,226.5231098737175,-3.975672766650673,-2.0305044241564207,8184.02373,-1.9896348969572557
OOS,ETH,ETHUSDT_251226,in,2025-06-27 11:00:00,signal,262.3226707732007,2.736414680628574,258.96634726257474,-0.535010363802435,5733.46578,259.5862560925721
OOS,ETH,ETHUSDT_251226,out,2025-07-17 13:00:00,signal,294.2685258592559,297.5711117112834,-2.117778817493088,1.089720995726129,57819.5827,-3.302585852027505
OOS,ETH,ETHUSDT_251226,in,2025-08-31 17:00:00,signal,203.37497848445628,205.82241118294763,-1.7946303424309917,0.603589344636557,944.55383,-2.4474326984913546
OOS,ETH,ETHUSDT_251226,out,2025-11-04 21:00:00,signal,20.17604219532787,16.88117783364307,1.0004394901863556,-2.2881194922597103,194094.81242,3.2948643616848017
OOS,ETH,ETHUSDT_260327,in,2026-02-02 16:00:00,expiry,46.67883273347995,45.65882563435375,2.113928688480815,1.0984461212171226,56798.60219,1.0200070991262038
OOS,ETH,ETHUSDT_260925,in,2026-03-27 16:00:00,signal,152.35945545601925,150.41756270825823,-0.8132252428150188,-2.7258198831647817,4014.64444,1.9418927477610168
OOS,ETH,ETHUSDT_260925,out,2026-05-14 19:00:00,signal,81.82937189022522,79.9870797019131,1.626554527172086,-0.20108188603651378,4532.38692,1.8422921883121148
OOS,ETH,ETHUSDT_260925,in,2026-06-10 00:00:00,signal,53.33495692410706,66.34510472199429,-11.832896476280386,1.0929167790840744,33919.99472,-13.010147797887228
OOS,ETH,ETHUSDT_260925,out,2026-07-04 00:00:00,signal,30.322683415255902,33.58339614054184,-3.2497987972490705,0.0,9497.46524,-3.2607127252859414
