per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
OOS,LIGHTUSDT,2026-01-19 00:01:00+00:00,1,329.33831698294,-660.8810289945299,-657.2457263639918,-609.7284457871586,-596.8527955663393,-520.7248520539653,394.5412706737618
OOS,SUIUSDT,2026-01-19 00:01:00+00:00,1,213.75962217512998,-259.4034912405411,-222.03175044109216,-264.2048917368559,-298.27859224375067,-257.0010179493646,242.52333637566812
OOS,DOGEUSDT,2026-01-19 00:01:00+00:00,1,327.939323265677,-135.83082382352188,-142.79199497142417,-166.6944739404132,-135.83082382352188,-114.11094495289336,354.8859880165354
OOS,ADAUSDT,2026-01-19 00:01:00+00:00,1,317.775701993941,-34.199230811595534,-34.199230811595534,-50.72812281356126,-67.20237385023347,-42.4705239095145,337.8903907464583
OOS,LIGHTUSDT,2026-01-20 22:34:00+00:00,1,283.483024283311,527.55634787697,501.9615509161017,468.8734792582476,408.3315106505507,304.04836622394384,296.67934073639697
OOS,BEATUSDT,2026-01-20 22:34:00+00:00,1,189.71530787894898,288.7235893501909,295.43625988731435,313.6438774491039,276.89899350055214,271.39012969912767,196.04301370034483
OOS,ZECUSDT,2026-01-30 01:43:00+00:00,1,-138.412104024915,193.25581398301912,168.20840746719784,190.1568775980282,101.40333953195953,-1.3547328644055021,-117.80648231301276
OOS,SUIUSDT,2026-01-30 01:43:00+00:00,1,-31.999735520275998,135.4892889581371,117.92373926430506,204.74285276002476,39.625171277166636,71.11483832359593,-18.115413970698544
OOS,BEATUSDT,2026-01-30 01:43:00+00:00,1,-553.506897141971,-551.768628377315,-532.595514748301,-402.32416927605277,-137.2341463756434,-431.63008151887686,-535.5830982719591
OOS,LIGHTUSDT,2026-01-30 01:43:00+00:00,1,-322.672028915341,-13.632755135313783,-31.962216196305654,181.60501788663854,-73.60699194320638,-188.8924595791047,-294.10660756526147
OOS,ASTERUSDT,2026-01-30 01:43:00+00:00,1,98.395877023388,301.57808457485663,261.4252515609477,285.82880481206547,188.90328607034152,221.58368081846064,108.95156032945823
OOS,LINKUSDT,2026-01-31 17:12:00+00:00,1,53.923458041244,115.02162598733369,80.07231965749696,4.649930715142528,77.96192728218733,215.91351505967017,68.47606829852293
OOS,BEATUSDT,2026-01-31 17:12:00+00:00,1,-0.17328312712885582,413.0632292097163,381.55554151164057,242.92885552421865,30.039182798831604,657.1023959772209,30.039182798831604
OOS,LIGHTUSDT,2026-01-31 17:12:00+00:00,1,-78.89129183201501,29.558190348828795,-23.563069084609694,-46.62738115728004,-69.58547600329845,802.370358837197,-30.16375397953485
OOS,RAVEUSDT,2026-01-31 17:12:00+00:00,1,69.681512038826,212.06847435145482,186.3494673146885,155.78122077839518,86.59390787249899,323.9607117572966,89.96952327453602
OOS,SOLUSDT,2026-01-31 17:12:00+00:00,1,61.62542555343099,199.88634573309926,180.77027576077896,108.97500247880299,93.15756617697258,253.5908906427422,74.43842334346718
OOS,ASTERUSDT,2026-01-31 18:44:00+00:00,1,259.222438016435,551.0564063143407,466.4217847012763,439.8687293338276,375.0768223950706,439.8687293338276,277.4054924569501
OOS,DOGEUSDT,2026-01-31 18:44:00+00:00,1,22.011995528613998,696.0771627789928,653.2379822901368,504.86968410326506,375.4614272525513,393.60039483605215,54.43574152792608
OOS,SOLUSDT,2026-01-31 18:44:00+00:00,1,121.92719513966,558.5735197328967,522.4422146131924,370.80402050497787,300.2679386793128,393.11129470793077,142.72958093302094
OOS,BCHUSDT,2026-01-31 18:44:00+00:00,1,-29.396637080865,337.43450460996587,262.84891707676786,215.1575893298841,197.9248186531191,142.31702022661446,-8.560955321301705
OOS,ETHUSDT,2026-01-31 18:44:00+00:00,1,116.085711062017,642.8057435138095,566.5942663218242,500.72248920450073,455.56199245978905,336.0063154119134,139.9494674470151
OOS,LTCUSDT,2026-02-06 00:15:00+00:00,1,744.659261535244,716.4511081332203,734.7441877636895,670.9895324053659,659.6842346765075,785.3731139633057,755.3985620039526
OOS,PUMPUSDT,2026-02-06 00:15:00+00:00,1,1051.950946813367,1066.1112734777178,1078.7619423578942,972.1425338719724,916.5219139704283,1047.1892405878214,1066.1112734777178
OOS,SOLUSDT,2026-02-06 00:15:00+00:00,1,767.090264377938,608.6811813285336,630.763448325748,509.71263137230267,491.0016534871414,777.3233076259362,790.9853573614373
OOS,1000PEPEUSDT,2026-02-06 00:20:00+00:00,1,1011.098589452856,1098.4273256730023,1031.221990264862,999.6706743028112,1048.8287015304272,1162.8539811340872,1020.6848268920671
OOS,ADAUSDT,2026-02-06 00:20:00+00:00,1,1022.8802171504469,1053.7197229610845,979.7435332753773,999.373686837673,1048.7570292260068,1158.9742110471796,1028.9506631781749
OOS,PIPPINUSDT,2026-02-12 16:16:00+00:00,1,-247.170207506771,-231.8647413549272,-202.9114562902582,-325.4766931638889,-400.2025859867767,-79.85516631607658,-229.51197579782846
OOS,RIVERUSDT,2026-02-18 19:47:00+00:00,1,-797.8194326235861,-775.6932060679198,-762.1325947227251,-779.0771216550394,-783.585137189353,-810.5406565521976,-790.3388767430529
OOS,RIVERUSDT,2026-02-23 01:11:00+00:00,1,402.90494198630995,602.2786206529015,586.4535983246464,563.5193921103729,532.1463561768933,527.8826233103237,415.4408520368577
OOS,PIPPINUSDT,2026-03-20 07:04:00+00:00,1,-236.69099782787,-201.14849218600833,-214.0591302374249,-208.19487172972978,-215.23114048132877,-282.7314706383264,-217.5743203162393
OOS,ASTERUSDT,2026-03-22 00:02:00+00:00,1,44.467618272167,79.72181726761836,78.1640925195048,90.63936479941965,125.10588154238108,96.88856997085544,47.110219580349636
OOS,PIPPINUSDT,2026-03-31 10:04:00+00:00,1,-256.389852454043,-238.72119671111423,-238.72119671111423,-322.3859393247992,-296.5107207107227,-163.13102238617216,-234.9692386051123
OOS,TRUMPUSDT,2026-04-24 21:28:00+00:00,1,-49.851066567193,-58.79227037234703,-55.34167864343854,-51.88869482320947,-65.68628749219764,-55.34167864343854,-38.05278881116204
OOS,TRUMPUSDT,2026-04-29 12:15:00+00:00,1,5.792090677819,83.27762171994405,70.66303684685442,45.52816217032544,41.351189085157266,12.209194745920453,12.209194745920453
OOS,ORDIUSDT,2026-05-04 10:04:00+00:00,1,98.05489407992,53.190100968915225,51.23324319569981,80.66619947087696,66.90943353154469,96.43425131467333,100.38396201622072
OOS,RAVEUSDT,2026-05-10 20:17:00+00:00,1,-226.59065555074,-217.98940311325,-227.567890152932,-228.93471719604975,-208.39215574640514,-215.24924916472943,-223.46511793201563
OOS,BASEDUSDT,2026-05-13 14:11:00+00:00,1,-459.803719659714,-696.4212925790105,-691.4266351061128,-672.3980252131703,-678.4154425163904,-735.1967959481922,-430.45902828929854
OOS,BSBUSDT,2026-05-13 16:01:00+00:00,1,1033.477389174934,1026.6547654525366,1053.907490576988,1053.907490576988,1100.546982115211,1161.4902532500876,1051.176169370926
OOS,RAVEUSDT,2026-05-16 07:14:00+00:00,1,-90.57687955989701,-110.76518288626384,-114.27858175758037,-105.49040836073836,-55.986989675897476,-68.40913806782372,-79.03206425493974
OOS,RAVEUSDT,2026-05-17 23:41:00+00:00,1,793.8135048753641,64.73637872721787,75.59332744802776,119.25595179171106,243.1711860135763,222.6194502076492,841.5102858737996
OOS,BASEDUSDT,2026-05-17 23:42:00+00:00,1,99.904426613727,387.62097797907785,252.94407754340273,292.3707342710196,569.0357615551238,198.8485125409794,124.65426045281053
OOS,ORDIUSDT,2026-05-17 23:42:00+00:00,1,130.873719692047,433.2973650504676,331.1230232763482,428.0085992280744,414.8100744628133,225.8412605333379,160.1800736068423
OOS,RIVERUSDT,2026-05-17 23:42:00+00:00,1,-134.298691830616,-9.37508136385563,-65.2099162188909,54.192594453053395,72.70717808487686,-83.22236296014103,-110.80687916513804
OOS,RAVEUSDT,2026-05-23 07:51:00+00:00,1,-23.996878903375002,57.46502716884895,53.838118971199734,6.9247792804868595,97.53407061683673,-12.79189322077966,-16.368414845790202
OOS,BSBUSDT,2026-05-26 17:35:00+00:00,1,877.6577484091471,989.0786330185131,970.3058704808553,1038.6636719059827,1057.6709150033737,1074.3559368249832,893.5403129605623
OOS,BSBUSDT,2026-05-28 03:19:00+00:00,1,136.061651827997,531.281443498165,566.7749050406312,593.5521181225234,487.24792328323275,303.42904217603666,161.49010145050877
OOS,RIVERUSDT,2026-05-28 03:19:00+00:00,1,-326.604355189331,-230.08173682217407,-201.16572588816376,-288.83037042271457,-280.2770855227687,-312.98330697266056,-310.1480091537056
OOS,SUIUSDT,2026-05-31 14:19:00+00:00,1,-1.645490055554,262.94822210999416,153.43777324082856,50.84990941171523,60.090478396946736,20.934755395175348,22.08205048666127
OOS,BSBUSDT,2026-06-02 23:27:00+00:00,1,524.054544797839,684.3104799582391,644.6032275593817,666.6263651627681,710.9466736039228,505.77682264404416,570.3988661723527
