name,N,lbs,kind,hl,band,sharpe_is,sharpe_oos,cagr_is,cagr_oos,vol_is,vol_oos,maxdd_close_is,maxdd_close_oos,gross_is,turnover_is,cost_is,fund_is,cost_oos,fund_oos,sharpe_is_precost,sharpe_oos_precost,sum_2022,sum_2023,sum_2024,sum_2025,sum_2026
N40_short_z_hl20_b0.0,40,short,z,20,0.0,0.1553399333493269,0.30264313461197445,0.010692296439722249,0.04081323074354981,0.20966200424482467,0.1941384778852743,0.27276986179035256,0.1383223200715995,0.42396741839249785,66.37116550413855,0.0715442116955775,-0.01070507437806811,0.07156444293003926,-0.0170732340520526,0.49667674765466024,0.6705198696273932,0.073488070662612,0.08031135568000956,-0.056003551233733885,0.041647249172206746,0.05622355608139902
N40_long_z_hl20_b0.0,40,long,z,20,0.0,0.14502322753068494,0.6832132458948633,0.00881559600261883,0.11920717323503216,0.205141506806656,0.19162302936559877,0.33154154182175855,0.15075824453856002,0.4227514627652971,37.450811967270184,0.040296528742026716,-0.013379955896877354,0.03900416454181238,0.0012847506081401499,0.3413582590472383,0.8858650110197278,0.12143263604410834,-0.08450644653440008,0.05240616836892116,0.13534207180823593,0.08273735357175072
N20_long_z_hl60_b0.0,20,long,z,60,0.0,0.1394904418816963,0.4635020800077654,0.007909610025191194,0.07399285757268803,0.2013445624749578,0.19494784059300038,0.30285980420291747,0.18610307393209025,0.4096215319563129,34.0847863136415,0.029901995191626264,-0.015906542040412447,0.026355579761940206,0.016254746122982885,0.2879675112087554,0.5984243215382024,0.03808001895409541,0.01136870958555387,0.034885144395033235,0.02474479823264766,0.12577056505937922
N20_long_z_hl20_b0.5,20,long,z,20,0.5,0.13890403675418547,0.6891720076534964,0.008392577986067407,0.11703515214311988,0.19082601980719155,0.18548015029879078,0.2856231501464218,0.14438588195331947,0.3996678315138664,20.827851282901694,0.018265382943911505,-0.014935679730758674,0.015955953741806365,0.012177249822334165,0.2346156532317117,0.7745539631411554,0.09605144623493182,-0.01823914594124618,0.0017798336733624628,0.08578617004486742,0.12714330490654158
N20_all_z_hl60_b0.0,20,all,z,60,0.0,0.136083465139915,0.6355850665228243,0.0071482016744073285,0.11128880520012863,0.20235605601867648,0.19619941977634328,0.2805195424700938,0.16867972279277488,0.41679286392367215,50.25311622493479,0.043809820264186776,-0.015665492494013125,0.04104753622093132,0.012127713692380233,0.35247806690679595,0.8442029393084625,0.01420622495750353,0.1186549312591288,-0.05017377163746842,0.07208981172125938,0.13563200781938253
N20_all_sign_hl20_b0.5,20,all,sign,20,0.5,0.13301443570447236,0.7412497776715934,0.0067696604639115865,0.1301782385457193,0.19863747375989052,0.1890397210232944,0.28395641751419165,0.12712477915575515,0.4468437019812089,59.16218724912806,0.05124886086659503,-0.014808773704593556,0.049656839850869154,-0.005369729658013002,0.3910741298289754,1.0027745614402581,0.049777622573816904,0.10443004922878525,-0.0748703292705489,0.10384238728218712,0.12957239605262696
N30_long_z_hl20_b0.0,30,long,z,20,0.0,0.12746160364388928,0.5565305196008533,0.00525119279250541,0.0915360995671628,0.2041780508149323,0.18954505796052237,0.33009824983413627,0.15702793752172794,0.41509549533426,36.10757098621471,0.03633769072805077,-0.012739125298755883,0.03367771868291144,0.004901436241065072,0.30538936890776364,0.7335379686531422,0.09121935452434632,-0.06387686197905694,0.05080339380316882,0.08541081784822206,0.09030552909282559
N40_long_sign_hl20_b0.0,40,long,sign,20,0.0,0.124399711968204,0.6999303070546347,0.004815598454948056,0.12171707538324261,0.20166829382996007,0.18968211762510143,0.34231949928802774,0.1288062732129538,0.4701126040823967,56.47477083898216,0.060932499483578234,-0.013160111302918791,0.05994352048024046,0.002959127601169953,0.42641124742688274,1.014452055509011,0.018538109305880124,-0.016862156478952818,0.07365521298529326,0.13190211502423205,0.08925041046048915
N30_long_sign_hl20_b0.0,30,long,sign,20,0.0,0.10980157728341702,0.7467245333898234,0.001944701962670825,0.13116215858138291,0.2007735581721169,0.18878534788893578,0.33765447919983893,0.1418464091788303,0.4689760043866857,57.265277217416035,0.05767471726725719,-0.012235742588059973,0.05396299409222598,0.006315358036738725,0.39700052714777256,1.0308019888534965,0.06152320517355498,-0.025771780207293503,0.030444733080467648,0.10595150219021404,0.1288708421780771
N20_long_z_hl20_b0.0,20,long,z,20,0.0,0.1073840769953476,0.603178094809321,0.0014173543513467113,0.10367035502045296,0.20126099768714906,0.1949627165185384,0.31411669795085295,0.16582015275045814,0.4128300475596229,34.493286197071086,0.03026958001504415,-0.015304039266233834,0.02818877815917963,0.010779844796770728,0.2577714781642733,0.7472903896211274,0.06849709085904093,-0.020801091623005377,0.01719989175873106,0.06701184681288148,0.12887615829497898
N20_all_sign_hl20_b0.0,20,all,sign,20,0.0,0.09678504981738102,0.8015361917116058,-0.0006884366995266733,0.1458790370916716,0.2008862160580789,0.19295826703366029,0.2888251838759285,0.1351991282976529,0.4542916467697055,76.04108589636894,0.0662305699010004,-0.01503780236481894,0.06514976493090467,0.004074018979065157,0.42649565771341524,1.1377249649272854,0.0509093593398654,0.09186887873499085,-0.08439662289137206,0.12320137815931859,0.13442910125601892
N20_all_z_hl20_b0.0,20,all,z,20,0.0,0.08609479309902429,0.705773390246374,-0.0030219695714117645,0.12638101522383072,0.20256330242232926,0.19561129370091487,0.2879611100401398,0.1598284892877715,0.42657153203102244,52.269281780577785,0.04556991792519524,-0.014841872738785294,0.04434231428251382,0.007180172991978582,0.3110233623995421,0.9315838867541469,0.02626195381560526,0.10670447664545953,-0.08059971377555783,0.08787902832250868,0.14209030187713656
N20_all_sign_hl60_b0.0,20,all,sign,60,0.0,0.08541246357293329,0.7504536430598364,-0.002927630496654232,0.1349798297325948,0.20051755151389808,0.19351448879843106,0.29508504500945454,0.14040475115085393,0.4508165895745102,74.81493569023095,0.0651550297935393,-0.01535986586702217,0.06427009703812146,0.006741426129322804,0.41039062656830183,1.0811421062551212,0.03773202824308236,0.09879735981649253,-0.08510237140588059,0.1079544276134625,0.1339523698852111
