check,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,worst_day_IS,worst_day_OOS,sharpe_OOS,liq_IS,liq_OOS,y2022,y2023,y2024,y2025,y2026,note
spread|intrabar|spr_delay1,15.0,0.080959606971799,-0.0160325599620259,-0.2912562131964821,-0.0311307019617103,-0.0597761265243234,-0.026545570787047,-0.7748089747598572,1.0,0.0,0.2919624306181219,-0.0223262781338482,0.0,-0.026545570787047,0.0,
spread|intrabar|spr_delay1,20.0,0.0495248630722084,-0.0238929347749328,-0.3609570143653633,-0.0415076026156137,-0.113366947082243,-0.0394558630940941,-0.7748089747598572,0.0,0.0,0.1915502076365021,-0.0297683708451322,0.0,-0.0394558630940941,0.0,
OOS over all 180 stage-B configs|base,5.0,,0.0265117526176469,,,,,,,,,,,,,median; p10=0.0000 p90=0.0518 frac>0=0.889
OOS over all 180 stage-B configs|exAXS,5.0,,0.00594177802883215,,,,,,,,,,,,,median; p10=-0.0046 p90=0.0104 frac>0=0.689
OOS over all 180 stage-B configs|base,10.0,,0.006767769940507949,,,,,,,,,,,,,median; p10=-0.2274 p90=0.0498 frac>0=0.556
OOS over all 180 stage-B configs|exAXS,10.0,,-0.0106583687619374,,,,,,,,,,,,,median; p10=-0.2742 p90=0.0087 frac>0=0.294
OOS over all 180 stage-B configs|base,15.0,,-0.0277781253786956,,,,,,,,,,,,,median; p10=-0.8604 p90=0.0181 frac>0=0.206
OOS over all 180 stage-B configs|exAXS,15.0,,-0.03866961902397045,,,,,,,,,,,,,median; p10=-0.9442 p90=0.0000 frac>0=0.072
OOS over all 180 stage-B configs|base,20.0,,-0.2824702137231112,,,,,,,,,,,,,median; p10=-0.9945 p90=0.0000 frac>0=0.000
OOS over all 180 stage-B configs|exAXS,20.0,,-0.2405282447855627,,,,,,,,,,,,,median; p10=-0.9944 p90=0.0000 frac>0=0.000
OOS leave-one-coin-out (chosen config),1.0,,0.0055328606802069,,,,,,,,,,,,,min when removing AXS; median 0.0156
OOS leave-one-coin-out (chosen config),5.0,,0.0037969119184069,,,,,,,,,,,,,min when removing AXS; median 0.0430
OOS leave-one-coin-out (chosen config),10.0,,-0.0255181188280109,,,,,,,,,,,,,min when removing APT; median 0.0266
OOS leave-one-coin-out (chosen config),15.0,,-0.0389184938012325,,,,,,,,,,,,,min when removing APT; median 0.0387
