sym,other,lag,year,cc,n
1000PEPEUSDT,spot,-2,2026,-0.02736250613796791,52443
1000PEPEUSDT,spot,-1,2023,-0.008552234322165436,68924
1000PEPEUSDT,spot,-1,2024,-0.03764844857337706,87977
1000PEPEUSDT,spot,-1,2025,0.2573033548441228,72718
1000PEPEUSDT,spot,-1,2026,-0.026574588541340444,52611
1000PEPEUSDT,spot,0,2023,0.9616686023708285,69140
1000PEPEUSDT,spot,0,2024,0.9881011948625036,88255
1000PEPEUSDT,spot,0,2025,0.9919051876573318,72957
1000PEPEUSDT,spot,0,2026,0.9781980386375106,52779
1000PEPEUSDT,spot,1,2023,0.0027347460108401774,68925
1000PEPEUSDT,spot,1,2024,-0.028001763570559994,87976
1000PEPEUSDT,spot,1,2025,0.26934485931771135,72718
1000PEPEUSDT,spot,1,2026,-0.011284565049296164,52611
1000PEPEUSDT,spot,2,2023,-0.02304900313704786,68710
1000PEPEUSDT,spot,2,2024,-0.04879529369878164,87697
1000PEPEUSDT,spot,2,2025,0.1033278869231261,72479
1000PEPEUSDT,spot,2,2026,-0.025463271749459823,52443
ARBUSDT,bin,-2,2023,-0.04115878095035394,42046
ARBUSDT,bin,-2,2024,-0.04558029505294409,50289
