sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net
DUCK-USDT-SWAP,69,1,27491,0.006657,0.07616189400007632,1.0627410875141359,27587,0.14345801412047476,end,0.113389324491455
NC-USDT-SWAP,70,0,27467,0.20843,0.05447688250428573,1.037997471211577,27611,0.4416830590605959,end,0.46251394807488444
NC-USDT-SWAP,70,1,27515,0.12632,0.06653468892898015,1.0931809809639608,27611,0.07876820772640902,end,0.05076225927090075
J-USDT-SWAP,71,0,27587,0.4686,0.10603460628788224,1.0601233902056177,27731,0.33909517712334625,end,0.3423243851490707
J-USDT-SWAP,71,1,27635,0.2964,0.09900082257295979,1.1290233243476238,27731,-0.04487179487179471,end,-0.07066067377922498
BUZZ-USDT-SWAP,72,0,27707,0.08023,0.05665764533289121,1.0769941221663313,27851,0.4763804063317961,end,0.3977859811630305
BUZZ-USDT-SWAP,72,1,27755,0.06956,0.07750268370729345,1.1247402445465695,27851,0.39606095457159285,end,0.3074943634280203
PI-USDT-SWAP,73,0,28281,0.6784,0.029078619945501233,1.1630837327181638,28308,-0.5,stop,-0.5454518206478538
PI-USDT-SWAP,73,1,28329,1.6034,0.037575601348621535,1.1493906249396624,28407,-0.5,stop,-0.5973073114551248
HYPE-USDT-SWAP,74,0,28303,24.76,0.11579689821349337,1.1577258086486855,28447,0.2320274636510501,end,0.058068225178358045
HYPE-USDT-SWAP,74,1,28351,21.913,0.11592156413379158,1.1589722060532348,28447,0.13225026240131432,end,-0.04005840639120586
LAUNCHCOIN-USDT-SWAP,75,0,30754,0.118,0.11269201174458351,1.1266834642211716,30819,-0.5,stop,-0.5111990934953508
LAUNCHCOIN-USDT-SWAP,75,1,30802,0.1489,0.07180045138487262,1.094979509443718,30819,-0.188717259905977,stop,-0.18114288131434095
USELESS-USDT-SWAP,76,0,32002,0.4034,0.1056305922554309,1.0560840983105726,32146,0.4003470500743679,end,0.37715297412319726
USELESS-USDT-SWAP,76,1,32050,0.3926,0.10602245428886876,1.060001895734681,32146,0.38385124808965865,end,0.3481788614376085
MET-USDT-SWAP,79,0,33848,1.4336,0.05999575502381321,1.1329336009174087,33992,0.2021484375,end,0.15619217084120215
PIGGY-USDT-SWAP,80,0,34304,1.9906,0.03861993716388619,1.1423493573533403,34448,0.20948457751431726,end,0.0063328944090731126
PIGGY-USDT-SWAP,80,1,34352,1.6867,0.05449214036011661,1.1440095135777968,34448,0.0670540107903006,end,-0.03370074183314011
TRIA-USDT-SWAP,81,0,36679,0.0218,0.03346490515137608,1.1407683333504988,36823,0.21467889908256876,end,0.23214550380754964
UP-USDT-SWAP,82,0,38171,0.224,0.11486073369175565,1.1483661293768037,38315,0.22499999999999998,end,0.26049940501114893
UP-USDT-SWAP,82,1,38219,0.2268,0.10384965266870586,1.1473864519434842,38315,0.23456790123456783,end,0.24771860622463598
OFC-USDT-SWAP,83,0,38195,0.04589,0.060938123318514295,1.150531673485506,38339,-0.0655916321638701,end,-0.04793161863549029
OFC-USDT-SWAP,83,1,38243,0.05227,0.0660159800722684,1.1660737913990185,38339,0.06447292902238377,end,0.0895193208834392
BLEND-USDT-SWAP,85,0,38674,0.1444,0.08735511460515041,1.2070593779949907,38818,0.16689750692520777,end,0.24065309011234137
BLEND-USDT-SWAP,85,1,38722,0.1161,0.11274042153925914,1.2264287853617508,38818,-0.036175710594315236,end,0.00763563465728461
RE-USDT-SWAP,87,0,39850,0.56163,0.04048236115558683,1.2287828172652617,39876,-0.5,stop,-0.5507065293608532
GRAM-USDT-SWAP,86,0,39850,1.66,0.12291259466724895,1.2288678302236884,39994,0.0475903614457831,end,0.021744979046199178
GRAM-USDT-SWAP,86,1,39898,1.601,0.11937501954589565,1.19349950791791,39994,0.012492192379762623,end,-0.006682980839204303
O-USDT-SWAP,88,0,39856,0.6702,0.06840755132229079,1.2321161331634944,40000,-0.01611459265890791,end,-0.039394530768085245
O-USDT-SWAP,88,1,39904,0.7567,0.05633997575079883,1.2010898569517643,40000,0.10003964583058012,end,0.037322772529128675
NES-USDT-SWAP,89,0,40021,0.2467,0.04609548398289092,1.2080180770849558,40165,0.2655046615322254,end,0.21337298588659634
NES-USDT-SWAP,89,1,40069,0.1755,0.06574819362336817,1.2203692158187398,40165,-0.032478632478632585,end,-0.06761414884477727
AEON-USDT-SWAP,91,0,40811,0.10028,0.060173415219445546,1.2133785363327503,40955,0.31292381332269636,end,0.28426200295240894
AEON-USDT-SWAP,91,1,40859,0.09694,0.074107237966451,1.2160067572445445,40955,0.2892510831442129,end,0.24820469013528446
DOS-USDT-SWAP,92,0,41148,0.5003,0.07024209895388923,1.2488561716679183,41292,0.5246851888866679,end,0.48669905904288124
