sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status,okx_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,spot_min,gap_h,cls,newtok
MAJOR-USDT-SWAP,MAJOR,2024-11-28 13:00:34.025,,,,2024-11-28 12:00:00.594,2024-11-28 12:00:00.848,MAJORUSDT-2024-11.csv.gz,2024-11-28,0.0,2024-11-28 12:00:00.050,,2024-11-28 12:00:00,Major,tradable,2024-11-28 12:00:00.050,-1.0,-1.0,-1.0,,,2024-11-28 12:00:00.000,-1.0,okx_only,True
ZKJ-USDT-SWAP,ZKJ,2024-12-06 09:00:34.870,,,,2024-06-13 08:00:11.818,2024-06-13 08:00:30.736,ZKJUSDT-2024-06.csv.gz,2024-12-03,-3.0,,,2024-03-19 10:00:00,Polyhedra Network,tradable,2024-12-02 16:00:00.000,-89.0,-4225.0,-6287.0,,,2024-03-19 10:00:00.000,-6287.0,okx_first,False
SUNDOG-USDT-SWAP,SUNDOG,2024-12-11 10:15:23.500,,,,2024-09-11 10:00:34.322,2024-09-11 10:00:37.481,SUNDOGUSDT-2024-09.csv.gz,,,,,2024-08-21 12:00:00,Sundog,tradable,,,-2184.2,-2686.3,,,2024-08-21 12:00:00.000,-2686.3,okx_only,True
AI16Z-USDT-SWAP,AI16Z,2024-12-20 09:15:24.996,,,,2025-01-06 08:00:02.507,2025-01-06 08:00:06.131,AI16ZUSDT-2025-01.csv.gz,,,,,,,,,,406.7,,,,2025-01-06 08:00:06.131,406.7,okx_first,True
GRIFFAIN-USDT-SWAP,GRIFFAIN,2024-12-27 07:01:16.836,,,,,,,,,,,2024-12-19 14:00:00,GRIFFAIN,tradable,,,,-185.0,,,2024-12-19 14:00:00.000,-185.0,okx_first,True
ZEREBRO-USDT-SWAP,ZEREBRO,2024-12-27 07:15:19.933,,,,2024-12-11 08:00:01.236,2024-12-11 08:00:02.607,ZEREBROUSDT-2024-12.csv.gz,,,,,2024-11-30 15:00:00,zerebro,tradable,,,-383.3,-640.3,,,2024-11-30 15:00:00.000,-640.3,okx_first,True
ALCH-USDT-SWAP,ALCH,2025-01-03 07:15:15.135,,,,2024-12-26 10:00:00.685,2024-12-26 10:00:03.682,ALCHUSDT-2024-12.csv.gz,,,,,2025-01-03 07:00:00,Alchemist AI,tradable,,,-189.3,-0.3,,,2024-12-26 10:00:03.682,-189.3,okx_first,True
DUCK-USDT-SWAP,DUCK,2025-01-16 11:00:19.661,,,,,,,2025-01-16,0.0,2025-01-16 10:00:00.007,,2025-01-16 10:00:00,DuckChain,tradable,2025-01-16 10:00:00.007,-1.0,,-1.0,,,2025-01-16 10:00:00.000,-1.0,okx_only,True
NC-USDT-SWAP,NC,2025-01-17 11:00:57.041,,,,,,,2025-01-17,0.0,2025-01-17 10:00:00.072,,2025-01-17 10:00:00,Nodecoin,tradable,2025-01-17 10:00:00.072,-1.0,,-1.0,,,2025-01-17 10:00:00.000,-1.0,okx_only,True
J-USDT-SWAP,J,2025-01-22 11:00:25.689,,,,2025-01-22 10:00:00.636,2025-01-22 10:00:01.864,JUSDT-2025-01.csv.gz,2025-01-22,0.0,2025-01-22 10:00:00.050,,,,,2025-01-22 10:00:00.050,-1.0,-1.0,,,,2025-01-22 10:00:00.050,-1.0,okx_only,True
