instId,groups,listTime,age_days,state,lever_inst,t1_mmr,t1_imr,t1_maxLever,t1_maxSz,ctVal,last,t1_cap_usdt,n_tiers,min_order_usdt,lot_usdt,max_mmr
CRM-USDT-SWAP,new180,2026-07-30 09:15:00+00:00,56,live,10.0,0.02,0.1,10.0,20.0,1.0,238.8,4776.0,87,2.3880000000000003,2.3880000000000003,0.46
CRV-USDT-SWAP,book,2020-09-04 10:12:51+00:00,2211,live,50.0,0.0065,0.02,50.0,50000.0,1.0,0.3436,17180.0,93,0.3436,0.3436,0.465
CRWV-USDT-SWAP,new180,2026-04-10 12:00:00+00:00,167,live,25.0,0.02,0.04,25.0,1000.0,1.0,90.47,90470.0,93,0.9047000000000001,0.9047000000000001,0.49
CRWD-USDT-SWAP,new180,2026-05-26 09:30:00+00:00,121,live,25.0,0.02,0.04,25.0,25.0,1.0,260.17,6504.25,93,2.6017,2.6017,0.49
CSCO-USDT-SWAP,new180,2026-05-19 09:45:00+00:00,128,live,20.0,0.02,0.05,20.0,55.0,1.0,106.83,5875.65,87,1.0683,1.0683,0.46
CSOPSKHYNIX2L-USDT-SWAP,new180,2026-09-03 06:00:00+00:00,21,live,10.0,0.035,0.1,10.0,4000.0,1.0,5.319,21276.0,81,5.319,5.319,0.435
CSOPSAMSUNG2L-USDT-SWAP,new180,2026-09-03 06:15:00+00:00,21,live,10.0,0.035,0.1,10.0,720.0,1.0,10.322,7431.839999999999,81,10.322,10.322,0.435
CXMT-USDT-SWAP,new180,2026-08-18 06:45:00+00:00,37,live,20.0,0.02,0.05,20.0,2000.0,1.0,8.538,17076.0,87,8.538,8.538,0.46
CYPH-USDT-SWAP,new180,2026-09-23 09:30:00+00:00,1,live,20.0,0.02,0.05,20.0,4000.0,1.0,4.0775,16309.999999999998,87,4.0775,4.0775,0.46
DASH-USDT-SWAP,book,2025-11-06 03:00:00.994000+00:00,322,live,50.0,0.01,0.02,50.0,32000.0,0.01,62.68,20057.6,93,0.6268,0.6268,0.48
DDOG-USDT-SWAP,new180,2026-09-03 09:15:00+00:00,21,live,20.0,0.02,0.05,20.0,100.0,1.0,257.86,25786.0,87,2.5786000000000002,2.5786000000000002,0.46
DELL-USDT-SWAP,new180,2026-05-28 09:15:00+00:00,119,live,20.0,0.02,0.05,20.0,100.0,1.0,541.78,54178.0,87,5.4178,5.4178,0.46
DGAI-USDT-SWAP,new180,2026-09-03 03:00:00+00:00,21,live,20.0,0.02,0.05,20.0,4000.0,10.0,1.0311,41243.99999999999,87,10.311,10.311,0.46
DKNG-USDT-SWAP,new180,2026-06-18 09:45:00+00:00,98,live,10.0,0.02,0.1,10.0,300.0,1.0,21.28,6384.0,87,2.128,2.128,0.46
